hours_studied,attendance_pct,previous_score,sleep_hours,sample_papers_solved,extracurricular,parental_support,performance_index
6.2,79.3,58.2,8.0,4,1,2,61.2
3.2,71.2,55.0,7.3,6,1,1,44.3
7.2,75.0,71.5,8.9,9,1,1,78.7
7.6,87.6,68.8,4.6,9,1,3,77.8
1.2,80.0,43.9,6.2,7,1,3,46.4
2.6,84.1,81.8,5.9,1,1,2,56.2
5.8,88.0,63.6,4.1,6,1,3,74.4
4.8,75.5,48.3,7.8,3,0,3,48.3
5.5,89.1,82.8,6.2,4,1,2,66.3
3.6,84.5,74.4,7.4,3,1,1,67.8
7.4,65.2,46.0,9.0,3,1,2,59.0
7.2,97.3,91.7,6.1,5,0,1,82.8
5.6,74.0,74.9,6.0,1,1,3,64.8
8.0,60.1,64.8,6.6,8,0,2,67.6
6.5,67.5,88.9,7.7,6,1,3,74.5
3.6,67.7,67.4,5.8,3,0,3,58.5
6.3,80.6,64.6,5.7,2,1,2,68.5
3.4,76.7,55.1,7.8,5,1,3,64.4
7.4,76.0,73.7,7.0,2,0,3,60.7
5.4,87.4,72.1,4.0,2,0,3,69.8
5.1,84.1,65.2,5.0,4,0,1,55.6
4.0,83.8,53.2,8.3,4,1,2,53.5
8.2,84.9,66.9,7.0,2,1,3,70.8
5.2,87.4,64.0,5.6,4,1,3,69.8
4.6,54.7,45.0,6.3,0,0,2,42.1
4.7,75.6,42.9,6.5,2,1,1,45.7
6.7,53.8,73.5,7.4,4,1,1,65.7
6.3,80.4,35.0,4.9,3,0,2,50.6
6.4,79.9,68.1,5.5,1,0,2,55.9
6.4,92.5,57.8,6.8,8,0,3,68.4
10.2,94.3,84.6,6.4,2,0,1,81.8
4.6,82.4,57.6,7.2,3,0,2,55.8
4.4,74.0,74.9,5.0,3,0,1,46.8
3.7,,59.0,6.9,1,0,3,59.4
6.9,73.7,66.7,7.8,8,0,1,65.7
8.0,80.0,76.1,7.1,8,0,1,85.3
5.2,91.8,58.1,6.7,4,1,1,53.0
3.7,73.3,79.9,6.4,4,0,1,56.5
3.7,89.7,50.1,5.5,4,0,2,48.7
6.9,88.1,69.4,6.4,1,1,2,60.4
7.1,68.5,78.8,8.0,7,0,2,70.0
6.7,91.7,74.9,6.4,3,0,3,82.1
4.0,88.4,93.7,5.4,4,0,2,69.5
6.0,81.2,53.5,5.9,4,0,1,51.5
5.8,70.9,44.3,6.7,8,1,2,48.8
6.0,69.7,50.1,6.1,2,0,3,42.7
7.4,73.5,74.9,7.1,5,0,2,66.7
6.0,86.5,72.5,7.1,3,1,1,62.2
7.0,68.5,66.5,7.6,1,1,3,61.8
5.6,85.3,48.2,8.2,2,0,3,44.6
6.1,65.1,76.5,7.7,8,0,1,67.1
6.9,77.6,46.6,5.4,2,0,2,59.8
2.3,81.3,82.4,5.4,6,1,2,72.5
4.8,100.0,100.0,6.4,5,1,1,67.0
4.5,63.5,70.5,6.0,3,1,1,48.8
4.1,97.7,73.7,5.1,2,0,3,58.1
4.9,81.8,57.6,6.0,3,0,2,56.4
8.8,84.9,37.8,5.9,2,1,3,54.7
3.6,81.4,56.0,5.7,5,0,2,64.1
7.6,85.3,48.6,6.1,3,1,2,62.7
1.8,78.2,43.3,7.9,5,0,3,47.7
4.8,97.4,90.8,6.7,5,0,1,82.4
5.9,74.5,69.1,9.0,6,0,2,67.5
6.8,93.6,70.7,6.7,2,0,1,68.2
7.1,72.3,60.4,6.2,3,1,1,55.0
7.2,79.3,62.4,6.5,0,0,3,52.8
4.7,,79.5,6.8,0,1,1,51.5
4.5,85.5,64.5,7.0,3,1,2,74.0
7.4,97.3,73.0,9.0,3,1,2,80.7
5.1,79.1,62.1,5.5,2,1,3,60.3
